
"article doi","title","publish date"
"10.1371/journal.pmed.0020124","Why Most Published Research Findings Are False","08/30/05"

"name","url"
"CiteULike","http://www.citeulike.org/doi/10.1371/journal.pmed.0020124"
""
"group","group_id","article_id","link","post_time","tag","linkout","url"
"Journal picks","10570","309395","url http://www.citeulike.org/group/10570/article/309395","2010-12-03 19:12:40","bibliographic_information","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/group/10570/article/309395"
"group","group_id","article_id","link","post_time","tag","linkout","url"
"Integrated Natural Resources Modelling and Management (INRMM)","15400","309395","url http://www.citeulike.org/group/15400/article/309395","2012-10-11 09:54:03","reproducible-research science-ethics scientific-misconduct statistics","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/group/15400/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"mtv","309395","url http://www.citeulike.org/user/mtv/article/309395","2012-10-11 09:53:49","reproducible-research science-ethics scientific-misconduct statistics","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/mtv/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"jporternj","309395","url http://www.citeulike.org/user/jporternj/article/309395","2012-10-08 16:33:19","metascience","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/jporternj/article/309395"
"group","group_id","article_id","link","post_time","tag","linkout","url"
"Knowledge Networks","13195","309395","url http://www.citeulike.org/group/13195/article/309395","2010-10-04 09:59:29","0_bias 0_quantitative 0_research_methods","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/group/13195/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"grolemund","309395","url http://www.citeulike.org/user/grolemund/article/309395","2010-09-02 21:01:42","no-tag","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/grolemund/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"dejang","309395","url http://www.citeulike.org/user/dejang/article/309395","2010-09-08 13:29:42","statistics","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/dejang/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"daforerog","309395","url http://www.citeulike.org/user/daforerog/article/309395","2008-12-16 11:58:23","sci","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/daforerog/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"sdaehne","309395","url http://www.citeulike.org/user/sdaehne/article/309395","2010-02-19 11:20:15","science_meta_stuff","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/sdaehne/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"nnavarro","309395","url http://www.citeulike.org/user/nnavarro/article/309395","2012-10-04 11:52:01","ethics good_practices interpretations journal practices publications research research_practices responsibility scientific validations","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/nnavarro/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"memming","309395","url http://www.citeulike.org/user/memming/article/309395","2009-06-17 15:28:36","bayesian meta-analysis publication-bias statistical-test statistics","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/memming/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"monkare","309395","url http://www.citeulike.org/user/monkare/article/309395","2009-09-22 14:30:26","generic_skills","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/monkare/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"Sergey_gerbek","309395","url http://www.citeulike.org/user/Sergey_gerbek/article/309395","2009-11-18 04:59:40","methodology","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/Sergey_gerbek/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"sylvirgro","309395","url http://www.citeulike.org/user/sylvirgro/article/309395","2010-05-27 17:59:52","2010may27 statistics","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/sylvirgro/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"arthurdev","309395","url http://www.citeulike.org/user/arthurdev/article/309395","2010-09-29 07:34:08","no-tag","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/arthurdev/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"fxdm","309395","url http://www.citeulike.org/user/fxdm/article/309395","2010-09-29 08:15:49","effect_size false_discovery_rate false_positive metareplication null_hypothesis p_value statistical_power statistics","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/fxdm/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"jirak","309395","url http://www.citeulike.org/user/jirak/article/309395","2010-12-10 13:03:10","no-tag","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/jirak/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"neverendingaudit","309395","url http://www.citeulike.org/user/neverendingaudit/article/309395","2010-12-19 22:14:09","no-tag","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/neverendingaudit/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"Leho","309395","url http://www.citeulike.org/user/Leho/article/309395","2011-01-04 02:03:19","no-tag","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/Leho/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"druvus","309395","url http://www.citeulike.org/user/druvus/article/309395","2011-03-11 09:34:33","statistics","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/druvus/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"shtrom","309395","url http://www.citeulike.org/user/shtrom/article/309395","2011-04-11 02:58:14","analysis crit publication research statistics","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/shtrom/article/309395"
"username","article_id","link","post_time","tag","linkout","url"
"ekrzepka","309395","url http://www.citeulike.org/user/ekrzepka/article/309395","2011-05-07 10:28:39","no-tag","type DOI url http://dx.doi.org/10.1371/journal.pmed.0020124 type Pubmed Central url http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182327/ type Pubmed url http://view.ncbi.nlm.nih.gov/pubmed/16060722 type Hubmed url http://www.hubmed.org/display.cgi?uids=16060722","http://www.citeulike.org/user/ekrzepka/article/309395"
"group","group_id","article_id","link","post_time","tag","linkout","url"
